Ex_ID,sita,Best_cost,Constr_cost,Travel_time,Best_lane,Best_station,FW_time,Bike_flow
Ex 90,sita 2.0,833773395.8912585,89000,41684.21979456292,[0 1 1 1 1 1],[1 1 1],0.015956878662109375,"{'N001': {'N002': 2287.1233728647385, 'N003': 2033.7419654607002}}"
Ex 90,sita 2.1,842168014.4674141,89000,42103.950723370705,[0 1 1 1 1 1],[1 1 1],0.015957117080688477,"{'N001': {'N002': 2268.7067716596107, 'N003': 2017.788664735117}}"
Ex 90,sita 2.2,849652724.0676041,89000,42478.1862033802,[1 1 1 1 1 0],[1 1 1],0.024933815002441406,"{'N001': {'N002': 2543.4643913527316, 'N003': 2224.476270361301}}"
Ex 90,sita 2.3000000000000003,856330181.4778113,89000,42812.05907389057,[1 1 1 1 1 0],[1 1 1],0.01894831657409668,"{'N001': {'N002': 2527.8720840743395, 'N003': 2214.7838594593786}}"
Ex 90,sita 2.4000000000000004,862340509.5891821,89000,43112.575479459105,[1 1 1 1 1 0],[1 1 1],0.015959501266479492,"{'N001': {'N002': 2516.7401539320563, 'N003': 2202.701868338415}}"
Ex 90,sita 2.5,868079367.3418721,89000,43399.5183670936,[1 1 1 1 1 0],[1 1 1],0.017914772033691406,"{'N001': {'N002': 2506.1640774963307, 'N003': 2191.279868113753}}"
Ex 90,sita 2.6,873423337.4759059,89000,43666.716873795296,[1 1 1 1 1 0],[1 1 1],0.020114898681640625,"{'N001': {'N002': 2496.3288629890076, 'N003': 2180.7799764974825}}"
Ex 90,sita 2.7,878482447.278306,89000,43919.6723639153,[1 1 1 1 1 0],[1 1 1],0.015919923782348633,"{'N001': {'N002': 2487.018366130121, 'N003': 2170.968215849898}}"
Ex 90,sita 2.8000000000000003,883282661.2223254,89000,44159.68306111627,[1 1 1 1 1 0],[1 1 1],0.018949270248413086,"{'N001': {'N002': 2478.1716296300942, 'N003': 2161.785943750688}}"
Ex 90,sita 2.9000000000000004,887760486.6818745,89000,44383.574334093726,[1 1 1 1 1 0],[1 1 1],0.016956090927124023,"{'N001': {'N002': 2469.8714480039425, 'N003': 2153.370416848025}}"
Ex 90,sita 3.0,891976712.9139009,89000,44594.385645695045,[1 1 1 1 1 0],[1 1 1],0.019910097122192383,"{'N001': {'N002': 2461.9899726137182, 'N003': 2145.6021693491584}}"
Ex 90,sita 3.1,896029484.5194802,89000,44797.02422597401,[1 1 1 1 1 0],[1 1 1],0.019910335540771484,"{'N001': {'N002': 2454.733236116214, 'N003': 2137.8832038789733}}"
Ex 90,sita 3.2,899807422.3219277,89000,44985.92111609638,[1 1 1 1 1 0],[1 1 1],0.016917943954467773,"{'N001': {'N002': 2447.567567990287, 'N003': 2131.174651127029}}"
Ex 90,sita 3.3000000000000003,903410945.139576,89000,45166.0972569788,[1 1 1 1 1 0],[1 1 1],0.015958786010742188,"{'N001': {'N002': 2440.6738608442656, 'N003': 2124.8973488340707}}"
Ex 90,sita 3.4000000000000004,903472641.3336122,89000,45169.18206668061,[1 1 1 1 1 0],[1 1 1],0.019907474517822266,"{'N001': {'N002': 2450.9728640079456, 'N003': 2115.032587302428}}"
Ex 90,sita 3.5,906059812.7979895,89000,45298.540639899475,[1 1 1 1 1 0],[1 1 1],0.02094554901123047,"{'N001': {'N002': 2447.316827258869, 'N003': 2109.303764930297}}"
Ex 90,sita 3.6,908449372.5892009,89000,45418.01862946004,[1 1 1 1 1 0],[1 1 1],0.01994633674621582,"{'N001': {'N002': 2444.0486502440863, 'N003': 2103.9231323454933}}"
Ex 90,sita 3.7,910658018.8038844,89000,45528.45094019422,[1 1 1 1 1 0],[1 1 1],0.019943714141845703,"{'N001': {'N002': 2441.487308348357, 'N003': 2098.508892807267}}"
Ex 90,sita 3.8000000000000003,912652025.148501,89000,45628.15125742505,[1 1 1 1 1 0],[1 1 1],0.02094411849975586,"{'N001': {'N002': 2439.04419106427, 'N003': 2093.7719501201386}}"
Ex 90,sita 3.9000000000000004,914525939.2669603,89000,45721.84696334801,[1 1 1 1 1 0],[1 1 1],0.019947290420532227,"{'N001': {'N002': 2437.1611363162283, 'N003': 2088.9042351239636}}"
Ex 90,sita 4.0,916011522.3462144,89000,45796.12611731072,[1 1 1 1 1 0],[1 1 1],0.026928424835205078,"{'N001': {'N002': 2436.2874095663474, 'N003': 2084.3616882031374}}"
