Ex_ID,Best_cost,Constr_cost,Travel_time,Best_lane,Best_station,FW_time
Ex 7,52186526.69614706,26000.0,2608.026334807353,[0 0 0 1 0 0],[1 4 4],0.23431992530822754
Ex 7,48970785.34981134,15000.0,2447.789267490567,[0 0 0 0 1 0],[0 0 0],0.031243324279785156
Ex 7,50329791.95487245,21000.0,2515.4395977436225,[0 0 0 0 1 0],[1 2 0],0.07814836502075195
Ex 7,50473631.83091068,22000.0,2522.581591545534,[0 0 0 0 1 0],[1 4 0],0.09372162818908691
Ex 7,50534763.37759467,21000.0,2525.6881688797334,[0 0 0 0 1 0],[1 0 3],0.09372878074645996
Ex 7,50633385.41485089,22000.0,2530.5692707425446,[0 0 0 0 1 0],[1 0 4],0.12493586540222168
Ex 7,51859393.16604838,24000.0,2591.769658302419,[0 0 0 0 1 0],[1 2 3],0.0624852180480957
Ex 7,51954194.994544595,25000.0,2596.45974972723,[0 0 0 0 1 0],[1 2 4],0.07895159721374512
Ex 7,51994899.19614345,25000.0,2598.4949598071726,[0 0 0 0 1 0],[1 4 3],0.06248116493225098
Ex 7,52089701.024639666,26000.0,2603.1850512319834,[0 0 0 0 1 0],[1 4 4],0.07810759544372559
Ex 7,48952956.50530939,20000.0,2446.6478252654692,[0 0 0 0 0 1],[0 0 0],0.01562190055847168
Ex 7,50533633.7683108,26000.0,2525.38168841554,[0 0 0 0 0 1],[1 2 0],0.17183494567871094
Ex 7,50659183.82461137,27000.0,2531.6091912305687,[0 0 0 0 0 1],[1 4 0],0.18746042251586914
Ex 7,50366414.84024229,26000.0,2517.0207420121146,[0 0 0 0 0 1],[1 0 3],0.07810354232788086
Ex 7,50484009.90300036,27000.0,2522.850495150018,[0 0 0 0 0 1],[1 0 4],0.0624845027923584
Ex 7,51893201.15517529,29000.0,2593.2100577587644,[0 0 0 0 0 1],[1 2 3],0.06248617172241211
Ex 7,52005710.2663232,30000.0,2598.78551331616,[0 0 0 0 0 1],[1 2 4],0.062484025955200195
Ex 7,52012434.32000296,30000.0,2599.121716000148,[0 0 0 0 0 1],[1 4 3],0.04687094688415527
Ex 7,52124943.431150876,31000.0,2604.6971715575437,[0 0 0 0 0 1],[1 4 4],0.04685688018798828
Ex 7,53500096.28306055,35000.0,2673.2548141530274,[1 1 0 0 0 0],[0 0 0],0.01562190055847168
Ex 7,54413829.71209938,41000.0,2718.641485604969,[1 1 0 0 0 0],[1 2 0],0.12579560279846191
Ex 7,54562700.15007334,42000.0,2726.035007503667,[1 1 0 0 0 0],[1 4 0],0.10934925079345703
Ex 7,54523982.29154657,41000.0,2724.1491145773284,[1 1 0 0 0 0],[1 0 3],0.07810616493225098
Ex 7,54648650.38285088,42000.0,2730.332519142544,[1 1 0 0 0 0],[1 0 4],0.07810854911804199
Ex 7,55448244.53774467,44000.0,2770.2122268872336,[1 1 0 0 0 0],[1 2 3],0.04682779312133789
Ex 7,55564928.24737992,45000.0,2775.996412368996,[1 1 0 0 0 0],[1 2 4],0.0624852180480957
Ex 7,55587990.67589747,45000.0,2777.1495337948736,[1 1 0 0 0 0],[1 4 3],0.046898603439331055
Ex 7,55704674.38553272,46000.0,2782.933719276636,[1 1 0 0 0 0],[1 4 4],0.04686379432678223
Ex 7,50820630.27270879,35000.0,2539.2815136354393,[1 0 1 0 0 0],[0 0 0],0.015632152557373047
Ex 7,51997334.66919864,41000.0,2597.816733459932,[1 0 1 0 0 0],[1 2 0],0.20306706428527832
